Rank;Group;Label
1;BTS (Bangtan Boys);Big Hit Entertainment
2;Black Pink;YG Entertaiment
3;GOT7;JYP Entertainment
4;EXO;SM Entertainment
5;Stray Kinds;JYP Entertainment
6;TXT;Big Hit Entertainment
7;Twice;JYP Entertainment
8;Red Velvet;SM Entertainment
9;MAMAMOO;RBW
10;NCT 127;SM Entertainment
11;NCT;SM Entertainment
12;Seventeen;Pledis Entertainment
13;ATEEZ;KQ Entertainment
14;ITZY;JYP Entertainment
15;MONSTA X;Starship Entertainment
16;Super M;SM Entertainment
17;NCT Dream;SM Entertainment
18;iKON ;YG Entertaiment
19;NCT U;SM Entertainment
20;SHINee;SM Entertainment
21;ASTRO;Fantagio Music
22;(G)I-DLE;Cube Entertainment
23;EVERGLOW;Yuehua Entertainment
24;Pentagon;Cube Entertainment
25;Day6;JYP Entertainment
26;KARD;DSP Media
27;IZ*ONE;Off the Record
28;GFriend;Source Music
29;Super Junior;SM Entertainment
30;EXO-CBX;SM Entertainment
31;Girls' Generation;SM Entertainment
32;EXID;Banana Culture Entertainment
33;WINNER;YG Entertaiment
34;EXO-SC;SM Entertainment
35;X1;Swing, Stone Music
36;CLC;Cube Entertainment
37;Dreamcatcher;Dreamcatcher Company
38;ONEUS;RBW
39;Apink;Play M Entertainment
40;THE BOYZ;Cre.ker Entertainment
41;AB6IX;Brand New Music
42;NU'EST;Pledis Entertainment
43;LOONA;Blockberry Creative
44;AOA;FNC Entertainment
45;SF9;FNC Entertainment
46;Momoland;MLD Entertainment
47;BtoB;Cube Entertainment
48;The Rose;J&Star Company
49;Jus2;JYP Entertainment
50;VAV;A Team Entertainment
51;Weki Meki;FAntagio Music
52;Infinite;Wollim Entertainment
53;3RACHA;JYP Entertainment
54;MCND;TOP Media
55;OH MY GIRL;WM Entertainment
56;CIX;C9 Entertaiment
57;VIXX;Jellyfish Entertainment
58;Cosmic Girls (WJSN);Starship Entertainment
59;fromis_9;Off the Record Entertainment
60;Cherry Bullet;FNC Entertainment
61;Rocket Punch;Wollim Entertainment
62;N.Flying;FNC Entertainment
63;VICTON;Play M Entertainment
64;Bolbbalgan4;Shofar Music
65;Gugudan;Jellyfish Entertainment
66;Lovelyz;Wollim Entertainment
67;CRAVITY;Starship Entertainment
68;Golden Child;Wollim Entertainment
69;HINAPIA;OSR Entertainment
70;DIA;MBK Entertainment
71;UP10TION;TOP Media
72;Onewe;RBW
73;Ladies' Code;Polaris Entertainment
74;Wooseok x Kuanlin;Cube Entertainment
75;Akdong Musician;YG Entertaiment
76;ONF;WM Entertainment
77;1TEAM;Live Works Company
78;1THE9;MBK Entertainment
79;3YE;GH Entertainment
80;ANS;ANS Entertainment
81;VERIVERY;Jellyfish Entertainment
82;SATURDAY;SD Entertainment
83;ARIAZ;Rising Star Entertainment
84;PURPLEBECK;MAJESTY Entertainment
85;Newkidd;J-FLO Entertainment
86;GWSN;Kiwi Pop
87;OnlyOneOf;RSVP
88;M.O.N.T;FM Entertainment
89;BVNDIT;MNH Entertainment
90;Teen Top;TOP Media
91;BDC;Brand New Music
92;TEEN TEEN;Maroo Entertainment
93;Fanatics;FENT
94;PRISM;LCH Entertainment
95;D1CE;Happy Face Entertainment
96;MustB;MustM Entertainment
97;FANXY RED;TOV Entertainment
98;I LUV;WKS ENE
99;GIRL CRUSH;DAM Entertainment
100;Melody Pink;KD Entertainment